"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","交易活动费","期权监管费","期权清算费","期权交收费","合计费用"
"卖出","SNDK","闪迪","555.66","20","11,113.20","全部成交","20@555.999","2026/02/10 10:58:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","18","555.99","10,007.82","2026/02/10 11:12:04 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.02","","","","2.07"
"","","","","","","","","","","","","","","","","","","2","556.08","1,112.16","2026/02/10 11:12:04 (美东)","美股","USD","","","","","","","","","","","","","",""
"买入","SNDK","闪迪","552.07","20","11,041.40","全部成交","20@552.07","2026/02/10 10:57:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","552.07","11,041.40","2026/02/10 10:58:21 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖出","SNDK","闪迪","558.00","20","11,160.00","全部成交","20@558.00","2026/02/10 09:47:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","558.00","11,160.00","2026/02/10 09:50:48 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","550.72","20","11,014.40","全部成交","20@550.72","2026/02/10 09:46:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","550.72","11,014.40","2026/02/10 09:47:03 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖出","NVDA","英伟达","191.13","100","19,113.00","全部成交","100@191.13","2026/02/10 08:20:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","191.13","19,113.00","2026/02/10 08:20:17 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","NVDA","英伟达","190.92","100","19,092.00","全部成交","100@190.92","2026/02/10 06:18:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","29","190.92","5,536.68","2026/02/10 06:18:19 (美东)","美股","USD","","","0.99","1","0.31","","","","","","","","","2.3"
"","","","","","","","","","","","","","","","","","","25","190.92","4,773.00","2026/02/10 06:18:19 (美东)","美股","USD","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","2","190.92","381.84","2026/02/10 06:18:19 (美东)","美股","USD","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","3","190.92","572.76","2026/02/10 06:18:19 (美东)","美股","USD","","","","","","","","","","","","","",""
